banda,data,local,link_ingresso,logo_url
Banda Live 80 + David Bowie Project,2026-08-20,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/bandalive80-davisbowie-manifesto,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1787025640/scraper/production/22065.jpg"
Banda Live 80,2026-08-20,Manifesto - São Paulo,https://www.clubedoingresso.com/evento/bandalive80-manifesto-20-08,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196701/scraper/production/21817.jpg"
Casa Lab Rock Night,2026-08-21,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/casalabrocknight,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196708/scraper/production/21819.jpg"
Covers: Black Sabbath e Whitesnake,2026-08-21,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/blacksabbath-whitesnake-manifesto,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196710/scraper/production/21821.jpg"
Rockphonic,2026-08-21,Bar Charles Edward - São Paulo,https://www.clubedoingresso.com/evento/rockphonic,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196711/scraper/production/21822.jpg"
Tributo Legião Urbana,2026-08-21,a confirmar - São Paulo,https://www.clubedoingresso.com/evento/tributolegiaourbana-21-08,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196716/scraper/production/21823.jpg"
Bullet Bane - Lançamento 'O Agora Que Cobra Viver',2026-08-21,Fabrique Club - São Paulo,https://fastix.com.br/api/events/bullet-bane-lancamento-o-agora-que-cobra-viver-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196876/scraper/production/21885.jpg"
Covers: Iron Maiden e Metallica,2026-08-22,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/coversironmaidenmetallica,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196723/scraper/production/21826.jpg"
Cachimbongfire + Briga de Pombo na Casa Lab,2026-08-22,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/cachimbongfirebrigadepombo-casalab,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196720/scraper/production/21824.jpg"
Domingueira K7 & Os Valvulados,2026-08-22,Espaço Villa do Som - São Paulo,https://www.clubedoingresso.com/evento/domingueirak7-osvalvulados-22-08,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196722/scraper/production/21825.jpg"
